"","species","total_pot_pred"
"1","Plant-Csa",194
"195","Plant-Cal",150
"345","Plant-Ecy",79
"424","Plant-Csc",157
"581","Plant-Upa",57
"638","Plant-Lst",172
"810","Plant-TvuF",166
"976","Plant-TvuHF",157
"1133","Plant-Ech",161
"1294","Plant-Lta",50
"1344","Plant-Bra",85
"1429","Plant-Aza",89
"1518","Plant-Gtr",54
"1572","Plant-Tar",41
"1613","Plant-Soc",102
"1715","Plant-Ger",121
"1836","Plant-Rbu",125
"1961","Plant-Ata",41
"2002","Plant-Gal",41
"2043","Plant-Lina",41
"2084","Plant-Tpr",74
"2158","Plant-Son",90
"2248","Plant-Sho",74
"2322","Plant-Cem",30
"2352","Plant-Lco",109
"2461","Plant-Lvu",61
"2522","Plant-Hie",30
"2552","Plant-Pgr",30
"2582","Plant-Fve",61
"2643","Plant-Eam",29
"2672","Plant-Ama",49
"2721","Plant-Lat",31
"2752","Plant-Sen",31
"2783","Plant-Tof",103
"2886","Plant-Cer",31
"2917","Plant-Hgu",31
"2948","Plant-Ese",49
"2997","Plant-Vcr",49
"3046","Plant-Vic",49
"3095","Plant-Ain",49
"3144","Plant-Svu",76
"3220","Plant-Cmon",49
"3269","Plant-Pbi",122
"3391","Plant-Sin",98
"3489","Plant-Vpu",75
"3564","Plant-Cmo",81
"3645","Plant-Lin",71
"3716","Plant-Dpe",47
"3763","Plant-Evu",47
"3810","Plant-Lob",47
