"n_cooccurring_sites","empirical_n_links","empirical_mean_interacting_sites","empirical_median_interacting_sites","empirical_q95_interacting_sites","empirical_mean_repeatability","empirical_median_repeatability","empirical_proportion_single_site_links","model_n_links_median","model_mean_interacting_sites_q025","model_mean_interacting_sites_q500","model_mean_interacting_sites_q975","model_mean_repeatability_q025","model_mean_repeatability_q500","model_mean_repeatability_q975","model_prop_single_q025","model_prop_single_q500","model_prop_single_q975","enough_empirical_links","empirical_repeatability_above_model","empirical_repeatability_below_model","empirical_interacting_sites_above_model","empirical_interacting_sites_below_model","empirical_single_site_below_model","empirical_single_site_above_model"
1,19,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,18,1.44444444444444,1,2,0.722222222222222,0.5,0.555555555555556,13,1,1,1.18181818181818,0.5,0.5,0.590909090909091,0.818181818181818,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
3,13,1.61538461538462,1,3,0.538461538461538,0.333333333333333,0.615384615384615,13,1,1.07142857142857,1.26666666666667,0.333333333333333,0.357142857142857,0.422222222222222,0.75,0.928571428571429,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
4,13,2.23076923076923,2,4,0.557692307692308,0.5,0.384615384615385,10,1,1.11111111111111,1.375625,0.25,0.277777777777778,0.34390625,0.666666666666667,0.9,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
5,5,1.8,1,3.6,0.36,0.2,0.6,7,1,1.14285714285714,1.57142857142857,0.2,0.228571428571429,0.314285714285714,0.5,0.857142857142857,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
6,5,2.2,1,4.6,0.366666666666667,0.166666666666667,0.6,6,1,1.2,1.66666666666667,0.166666666666667,0.2,0.277777777777778,0.444047619047619,0.833333333333333,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,8,4.625,5,7,0.660714285714286,0.714285714285714,0.125,8,1,1.22222222222222,1.62528409090909,0.142857142857143,0.174603174603175,0.232183441558441,0.5,0.8,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
8,7,3.14285714285714,4,4.7,0.392857142857143,0.5,0.285714285714286,6,1,1.25,1.83333333333333,0.125,0.15625,0.229166666666667,0.333333333333333,0.75,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
9,1,7,7,7,0.777777777777778,0.777777777777778,0,3,1,1.25,2.33333333333333,0.111111111111111,0.138888888888889,0.259259259259259,0,0.75,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
10,2,1.5,1.5,1.95,0.15,0.15,0.5,2,1,1.25,2.39166666666667,0.1,0.125,0.239166666666667,0,0.75,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,4,3.75,3.5,6.85,0.340909090909091,0.318181818181818,0.5,4,1,1.33333333333333,2.25,0.0909090909090909,0.121212121212121,0.204545454545455,0,0.666666666666667,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
12,3,5.33333333333333,3,10.2,0.444444444444444,0.25,0,3,1,1.5,2.5,0.0833333333333333,0.125,0.208333333333333,0,0.666666666666667,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
14,1,2,2,2,0.142857142857143,0.142857142857143,0,2,1,1.5,3,0.0714285714285714,0.107142857142857,0.214285714285714,0,0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,3,6,2,13.7,0.4,0.133333333333333,0.333333333333333,2,1,1.5,3,0.0666666666666667,0.1,0.2,0,0.5,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
16,1,1,1,1,0.0625,0.0625,1,1,1,1,4,0.0625,0.0625,0.25,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,2,10.5,10.5,16.35,0.552631578947368,0.552631578947368,0,2,1,2,4,0.0526315789473684,0.105263157894737,0.210526315789474,0,0.5,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
20,1,20,20,20,1,1,0,1,1,2,4,0.05,0.1,0.2,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
21,2,2.5,2.5,2.95,0.119047619047619,0.119047619047619,0,2,1,2,4,0.0476190476190476,0.0952380952380952,0.19047619047619,0,0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,1,17,17,17,0.772727272727273,0.772727272727273,0,1,1,2,5,0.0454545454545455,0.0909090909090909,0.227272727272727,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
25,2,10.5,10.5,19.05,0.42,0.42,0.5,3,1,2,3.71666666666666,0.04,0.08,0.148666666666666,0,0.333333333333333,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
28,2,21.5,21.5,25.55,0.767857142857143,0.767857142857143,0,2,1,2,4.6875,0.0357142857142857,0.0714285714285714,0.167410714285714,0,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
